ORGANIZATION_NAME,SHELTER_ID,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,NEIGHBOURHOOD
Fred Victor Centre,42,1193,Fred Victor Centre Fatima House,1059 College Street,M6H 1B1,Toronto,84
Sistering: A Women's Place,65,1104,Sistering,962 Bloor St W,M6H 1L6,Toronto,172
Christie Ossington Neighbourhood Centre,22,1029,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,M6H 3Z5,Toronto,171
City of Toronto,4,1006,SSHA Bellwoods House,63 Bellwoods Ave,M6J 3M4,Toronto,81
St. Felix Social Ministries Outreach,66,1148,St. Felix Centre 69 Fraser Ave. Respite,69 Fraser Ave,M6K 1E9,Toronto,85
St. Felix Social Ministries Outreach,66,1148,St. Felix Centre 69 Fraser Ave. Respite ,69 Fraser Ave,M6K 1E9,Toronto,85
City of Toronto,91,1240,Masaryk-Cowan CC,220 Cowan Ave,M6K 2N6,Toronto,85
Homes First Society,24,1125,HFS 195 Princes' Blvd,195 Princes' Blvd,M6K 3C3,Toronto,163
Fred Victor Centre,72,1125,HFS 195 Princes' Blvd,195 Princes' Blvd,M6K 3C3,Toronto,163
Fred Victor Centre,72,1125,HFS 195 Princes' Blvd ,195 Princes' Blvd,M6K 3C3,Toronto,163
Fred Victor Centre,72,1152,Fred Victor Centre 1A Strachan Ave Respite,1A Strachan Ave,M6K 3C3,Toronto,163
Dixon Hall,80,1125,HFS 195 Princes' Blvd,195 Princes' Blvd,M6K 3C3,Toronto,163
Dixon Hall,80,1125,HFS 195 Princes' Blvd ,195 Princes' Blvd,M6K 3C3,Toronto,163
City of Toronto,3,1154,SSHA Junction Place,731 Runnymede Rd,M6N 3V7,Toronto,90
City of Toronto,3,1154,TSSS Junction Place,731 Runnymede Rd,M6N 3V7,Toronto,90
The Salvation Army of Canada,28,1036,SA Evangeline Residence,2808 Dundas St W,M6P 1Y5,Toronto,90
Christie Ossington Neighbourhood Centre,22,1172,CONC West End Hotel Program,14 Roncesvalles Ave,M6R 2K3,Toronto,87
Society of St.Vincent De Paul,38,1049,SVDP Elisa House,60 Newcastle St,M8Y 1A3,Toronto,160
The Canadian Red Cross Society,98,1581,CRC Hotel Program Eglinton,5515 Eglinton Ave West,M9C5K5,Toronto,11
Youth Without Shelter,52,1064,Youth Without Shelter,6 Warrendale Ct,M9V 1P9,Etobicoke,2
Youth Without Shelter,52,1064,Youth Without Shelter ,6 Warrendale Ct,M9V 1P9,Etobicoke,2
The Salvation Army of Canada,77,1146,SA Islington Seniors' Shelter,2671 Islington Ave,M9V 2X6,Toronto,3
The Canadian Red Cross Society,98,1601,CRC Hotel Program Dixon,970 Dixon Rd,M9W 1 J,Toronto,1
COSTI Immigrant Services,40,1320,COSTI Hotel Program Dixon,640 Dixon Rd.,M9W 1J1,Toronto,1
Christie Ossington Neighbourhood Centre,22,1160,CONC Etobicoke Hotel Program,445 Rexdale Blvd,M9W 6P8,Etobicoke,1
City of Toronto,3,NA,NA,NA,NA,NA,NA
The Scott Mission Inc.,8,NA,NA,NA,NA,NA,
